ShortCode	Type	Title	Author	Journal	Organization	Publisher	Address	Year	Volume	Number	URL	Date Accessed	Pages	Book Chapter Title	Book editors	
anderson13	article	Towards a sociology of computational and algorithmic journalism	Christopher W. Anderson	New Media & Society				2013	15	7			1005-1021			
ap15	online	"AP, NCAA to Grow College Sports Coverage With Automated Game Stories"			Associated Press			4 March 2015			http://www.ap.org/Content/Press-Release/2015/AP-NCAA-to-grow-college-sports-coverage-with-automated-game-stories					
ap15_2	online	Netflix Misses Street 2Q Forecasts			Associated Press			15 July 2015			http://finance.yahoo.com/news/netflix-misses-street-2q-forecasts-202216117.html					
ap15_3	online	Exxon 3Q Profit Falls by Nearly Half Amid Low Oil Prices	David Koenig		Associated Press			30 October 2015			http://www.salon.com/2015/10/30/exxon_3q_profit_falls_by_nearly_half_amid_low_oil_prices/					
ap15_4	online	Apple Tops Street 1Q Forecasts			Associated Press			27 January 2015			http://finance.yahoo.com/news/apple-tops-street-1q-forecasts-213944804.html					
bak15	article	Exposure to Ideologically Diverse News and Opinion on Facebook	"Lada Adamic, Eytan Bakshy, and Solomon Messing"	Science				2015	348	6239			1130-1132			
carlson15	article	The Robotic Reporter	Matt Carlson	Digital Journalism				2015	3	3			416-431			
clerwall15	article	Enter the Robot Journalist	Christer Clerwall	Journalism Practice				2014	8	5			519-531			
cohen15	article	From Pink Lips to Pink Slime: Transforming Media Labor in a Digital Age	Nicole S. Cohen	The Communication Review				2015	18	2			98-122			
daily15	article	Robot Journalists		The Daily Show				2015			http://www.cc.com/video-clips/fh76l0/the-daily-show-with-trevor-noah-robot-journalists					
dalen12	article	The Algorithms Behind the Headlines	Arjen van Dalen	Journalism Practice				2012	6	5-6			648-658			
diak15	online	Towards a Standard for Algorithmic Transparency in the Media	Nicholas Diakolpoulos		Tow Center for Digital Journalism			27 April 2015			http://towcenter.org/towards-a-standard-for-algorithmic-transparency-in-the-media/					
diak152	article	Algorithmic Accountability: Journalistic Investigation of Computational Power Structures 	Nicholas Diakolpoulos	Digital Journalism				2015	3	3			398-415			
doerr15	article	Mapping the Field of Algorithmic Journalism	Konstantin Nicholas Dörr	Digital Journalism				3 November 2015			http://dx.doi.org/10.1080/21670811.2015.1096748					
earle11	article	Twitter earthquake detection: earthquake monitoring in a social world	"Paul S. Earle, Daniel C. Bowden and Michelle Guy"	Annals of Geophysics				2011	54	6			708-715			
feuz11	article	Personal Web Searching in the Age of Semantic Capitalism: Diagnosing the Mechanisms of Personalisation	"Martin Feuz, Matthew Fuller, and Felix Stalder"	First Monday				2011	16	2	http://firstmonday.org/ojs/index.php/fm/article/view/3344/2766					
flax15	article	"Filter Bubbles, Echo Chambers, and Online News Consumption"	"Seth Flaxman, Sharad Goel, and Justin Rao"	Working paper				2015			https://5harad.com/papers/bubbles.pdf					
gao14	inproceedings	NewsViews: An Automated Pipeline for Creating Custom Geovisualizations for News	"Tong Gao, Jessica Hullman, Eytan Adar, Brent Hecht and Nicholas Diakopoulos"		"32nd Annual ACM Conference on Human Factors in Computing Systems, New York"	ACM		2014					3005-3014			
glahn70	article	Computer-produced worded forecasts	Harry R. Glahn	Bulletin of the American Meteorological Society				1970	51	12			1126-1131			
graefe15	online	"Readers’ Perception of Computer-Written News: Credibility, Expertise, and Readability"	"Andreas Graefe, Mario Haim, Bastian Haarmann, and Hans-Bernd Brosius"		"Dubrovnik Media Days Conference, University of Dubrovnik"			2015								
haim15	article	Abyss or Shelter? On the Relevance of Web Search Engines' Search Results When People Google for Suicide	"Florian Arendt, Mario Haim, and Sebastian Scherr"	Health Communication				2015								
kaa14	inproceedings	Journalist Versus News Consumer: The Perceived Credibility of Machine Written News	Hille van der Kaa and Emiel Krahmer		"Computation + Journalism Conference, Columbia University, New York"			2014								
kent15	online	An Ethical Checklist for Robot Journalism	Tom Kent		Medium			24 February 2015			https://medium.com/@tjrkent/an-ethical-checklist-for-robot-journalism-1f41dcbd7be2					
klein13	online	"How To Edit 52,000 Stories at Once"	Scott Klein		ProPublica			2013			https://www.propublica.org/nerds/item/how-to-edit-52000-stories-at-once					
korm14	article	Tailor-Made News: Meeting the Demands of News Users on Mobile and Social Media	Tim Groot Kormelink and Irene Costera Meljer	Journalism Studies				2014	15	5			632-641			
kot15	online	New Data-driven Writing Platform Enables Professionals to Create Personalized Content at Unprecedented Scale	James Kotecki		Automated Insights			20 October 2015			http://www.prweb.com/releases/2015/10/prweb13029986.htm					
latar15	bookchapter	The New World of Transitioned Media	Noam Lemelshtrich Latar			Springer	New York	2015			http://link.springer.com/chapter/10.1007%2F978-3-319-09009-2_6		65-80	The Robot Journalist in the Age of Social Physics: The End of Human Journalism?	Gail Einav	
lazer14	article	The parable of Google Flu: Traps in big data analysis	"David Lazer, Ryan Kennedy, Gary King, and Alessandro Vespignani"	Science				2014	343	6176			1203-1205			
leco15	online	Automation in the Newsroom	Celeste Lecompte		Nieman Foundation			1 September 2015			http://niemanreports.org/articles/automation-in-the-newsroom/					
